ano,mes,renda_media
2012,01,3424.3804248668116
2012,02,3095.6230731345527
2012,03,2957.8113916741677
2012,04,2942.1292110861714
2012,05,3013.6323525198504
2012,06,3008.684130789085
2012,07,2992.1038297976756
2012,08,3034.7981632311644
2012,09,3020.901115666408
2012,10,2963.3217330646603
2012,11,3033.669950583762
2012,12,3159.0958884209685
2013,01,3318.588311578595
2013,02,3154.198455048649
2013,03,3045.5911996195387
2013,04,3000.4298645724666
2013,05,3096.1059170160856
2013,06,3123.870359750473
2013,07,3096.5488791634343
2013,08,3135.850007674242
2013,09,3146.3487299425474
2013,10,3104.330460340695
2013,11,3126.4139909823293
2013,12,3213.085137350659
2014,01,3369.1860330929894
2014,02,3260.710433508063
2014,03,3193.8215196988735
2014,04,3129.8072285234693
2014,05,3164.229429782495
2014,06,3141.380258122645
2014,07,3119.830168806026
2014,08,3194.6479499725488
2014,09,3176.7934520070016
2014,10,3123.2835207432395
2014,11,3173.5125540575696
2014,12,3278.814881791703
2015,01,3402.4030420103372
2015,02,3245.976792014559
2015,03,3135.510277356321
2015,04,3102.8954966552215
2015,05,3160.113531145801
2015,06,3133.7726537625367
2015,07,3072.803789670045
2015,08,3116.792943292147
2015,09,3085.158950871046
2015,10,2989.6164161993056
2015,11,3184.1007647799697
2015,12,3494.373986053536
2016,01,3721.757593151197
2016,02,3311.5839345927816
2016,03,3101.4103640134244
2016,04,2993.6970431130453
2016,05,3099.6612214863485
2016,06,3066.9069527101506
2016,07,3050.707730287756
2016,08,3135.24268761772
2016,09,3067.2830213059783
2016,10,2976.8875915279664
2016,11,3164.819285104822
2016,12,3479.592306398142
2017,01,3733.5543164280734
2017,02,3372.571609239588
2017,03,3131.2072270041176
2017,04,3009.295374393663
2017,05,3129.073723247976
2017,06,3100.119781799862
2017,07,3074.882831293847
2017,08,3159.5919861383563
2017,09,3131.4652472117505
2017,10,3017.892622164396
2017,11,3199.9229184803644
2017,12,3524.9800558827155
2018,01,3763.9124377260937
2018,02,3385.6675778324834
2018,03,3159.974192672577
2018,04,3080.123339180758
2018,05,3195.531832032958
2018,06,3162.344806372137
2018,07,3131.0070512692396
2018,08,3219.670804697254
2018,09,3147.3392104928143
2018,10,3034.7904982902014
2018,11,3235.142176213334
2018,12,3589.110995169353
2019,01,3836.512392196292
2019,02,3430.377928231545
2019,03,3154.5681882340564
2019,04,3055.9256857063933
2019,05,3170.1763112837275
2019,06,3162.688212493408
2019,07,3119.7887521401917
2019,08,3217.9651617781064
2019,09,3164.38908653135
2019,10,3072.496807583813
2019,11,3279.9406092593226
2019,12,3600.989517172904
2020,01,3830.5583177080835
2020,02,3469.0434391880917
2020,03,3229.2057273290743
2020,04,3095.8666217383043
2020,05,3123.7162009486024
2020,06,3089.5255485834855
2020,07,3146.9424280050666
2020,08,3263.0319163630247
2020,09,3255.7604617576276
2020,10,3123.7169072551123
2020,11,3276.3051817603045
2020,12,3483.256609276881
2021,01,3672.168978110312
2021,02,3350.387662443999
2021,03,3180.8922603197393
2021,04,3070.5115044139084
2021,05,3165.7821822760698
2021,06,3118.2758132602576
2021,07,3045.272761475744
2021,08,3056.253186692252
2021,09,2969.5452163053533
2021,10,2841.873026692433
2021,11,2978.4730590088134
2021,12,3221.7463674302758
2022,01,3475.2892467658016
2022,02,3158.904659386884
2022,03,2974.92912674249
2022,04,2905.8860850622355
2022,05,3034.338340789274
2022,06,3039.2280122898055
2022,07,3029.158170458085
2022,08,3121.635527826224
2022,09,3113.3349351631055
2022,10,3061.4339494316782
2022,11,3249.33759726636
2022,12,3534.0900371531643
2023,01,3715.7343929818016
2023,02,3393.2478895323725
2023,03,3184.1174936328553
2023,04,3112.832327073775
2023,05,3206.515622894908
2023,06,3185.591790333049
2023,07,3185.1661232523115
2023,08,3283.174093604727
2023,09,3267.5539863058825
2023,10,3131.9336490833057
2023,11,3333.2579047007207
2023,12,3674.278549509277
2024,01,3899.4909785267873
2024,02,3521.5945768286656
2024,03,3302.12742449281
2024,04,3293.5205487241014
2024,05,3391.0412337566236
2024,06,3355.598687380152
2024,07,3321.8711858655183
2024,08,3423.914569160252
2024,09,3377.008547261544
2024,10,3293.1899941283973
2024,11,3471.099693859941
2024,12,3788.2046100564803
2025,01,4018.2390975757157
2025,02,3683.1770356381985
2025,03,3437.4945223260165
2025,04,3362.391864440707
2025,05,3493.262182090794
2025,06,3479.842968615314
2025,07,3450.1997429829
2025,08,3518.4139465509734
2025,09,3486.6933857695985
2025,10,3417.689047949327
2025,11,3667.136498664008
2025,12,3955.0720716034025
2026,01,4121.571346948688
2026,02,3876.4063646370346
